Designator,Mid X,Mid Y,Rotation,Layer
C1,137.8,-72.8,180.0,top
C10,156.4,-86.325,90.0,top
C11,136.5,-61.3,90.0,top
C12,136.6,-59.1,180.0,top
C13,137.1,-81.9,270.0,top
C14,135.25,-86.45,0.0,top
C15,123.388906,-91.491151,0.0,top
C16,146.85,-74.8,270.0,top
C17,151.25,-78.35,180.0,top
C18,151.4,-71.45,90.0,top
C19,141.05,-95.6,90.0,top
C2,147.45,-92.1,0.0,top
C20,128.3,-95.3,270.0,top
C21,130.3,-95.3,270.0,top
C22,134.3,-95.85,270.0,top
C23,137.3,-95.825,270.0,top
C24,143.05,-95.6,270.0,top
C25,145.05,-95.6,270.0,top
C26,146.8,-95.825,270.0,top
C27,139.05,-95.6,270.0,top
C28,135.8,-95.825,270.0,top
C3,153.3,-105.0,135.0,top
C4,140.503257,-75.608193,90.0,top
C5,146.35,-83.55,90.0,top
C6,142.5,-75.6,90.0,top
C7,140.75,-71.775,270.0,top
C8,142.1,-87.575,90.0,top
C9,157.4,-83.75,180.0,top
D1,139.0,-89.85,270.0,top
D2,134.3,-89.85,90.0,top
D3,136.65,-89.85,90.0,top
IC1,148.8,-88.175,90.0,top
IC2,141.425,-58.0,0.0,top
J04,132.530693,-100.811386,180.0,top
J1,121.56,-111.95,270.0,top
J2,156.3,-76.7,180.0,top
J3,159.58833,-88.255474,0.0,top
J5,125.18,-54.085,180.0,top
L1,137.68,-78.35,180.0,top
L2,143.95,-87.625,90.0,top
L3,141.6,-82.45,270.0,top
Q1,133.275,-84.275,0.0,top
R1,151.860384,-94.501401,0.0,top
R2,134.7,-77.1,270.0,top
R3,134.75,-61.175,270.0,top
R4,162.3,-81.0,180.0,top
R5,159.3,-81.0,180.0,top
R6,120.365,-92.501,90.0,top
R7,132.0375,-82.325,0.0,top
R8,132.0375,-86.225,0.0,top
SW1,120.635302,-70.755929,270.0,top
TP1,131.1,-62.9,0.0,top
TP2,149.2,-106.2,0.0,top
TP3,162.2,-74.1,0.0,top
TP4,162.2,-77.5,0.0,top
TP5,145.0,-80.8,0.0,top
TP6,160.7,-95.6,0.0,top
TP7,153.5,-80.8,180.0,top
TP8,159.6,-108.6,0.0,top
U1,152.875,-101.4,180.0,top
U2,136.6,-75.88,90.0,top
U3,122.27,-86.275,0.0,top
